Date,Mon,Tue,Wed,Thu,Fri,Sat,Sun,holiday,daylight_hrs,PRCP,dry day,Temp (C),annual,pandemic
2012-10-03,0,0,1,0,0,0,0,0.0,11.27735923649675,0.0,1,13.35,0.0,0
2012-10-04,0,0,0,1,0,0,0,0.0,11.219141593709272,0.0,1,13.6,0.0027397260273972603,0
2012-10-05,0,0,0,0,1,0,0,0.0,11.161037510141552,0.0,1,15.3,0.005479452054794521,0
2012-10-06,0,0,0,0,0,1,0,0.0,11.103056478579873,0.0,1,15.85,0.00821917808219178,0
2012-10-07,0,0,0,0,0,0,1,0.0,11.045208198323877,0.0,1,15.85,0.010958904109589041,0
2012-10-08,1,0,0,0,0,0,0,1.0,10.987502588667528,0.0,1,14.450000000000001,0.0136986301369863,0
2012-10-09,0,1,0,0,0,0,0,0.0,10.92994980215941,0.0,1,12.5,0.01643835616438356,0
2012-10-10,0,0,1,0,0,0,0,0.0,10.872560237618186,0.0,1,10.25,0.019178082191780823,0
2012-10-11,0,0,0,1,0,0,0,0.0,10.81534455287898,0.0,1,10.55,0.021917808219178082,0
2012-10-12,0,0,0,0,1,0,0,0.0,10.758313677241961,2.0,0,11.4,0.024657534246575342,0
2012-10-13,0,0,0,0,0,1,0,0.0,10.70147882359555,4.8,0,13.899999999999999,0.0273972602739726,0
2012-10-14,0,0,0,0,0,0,1,0.0,10.64485150018159,16.5,0,15.55,0.030136986301369864,0
2012-10-15,1,0,0,0,0,0,0,0.0,10.588443521970554,7.9,0,14.149999999999999,0.03287671232876712,0
2012-10-16,0,1,0,0,0,0,0,0.0,10.53226702161101,0.0,1,12.200000000000001,0.03561643835616438,0
2012-10-17,0,0,1,0,0,0,0,0.0,10.476334459915442,0.0,1,10.25,0.038356164383561646,0
2012-10-18,0,0,0,1,0,0,0,0.0,10.420658635843873,20.8,0,12.25,0.0410958904109589,0
2012-10-19,0,0,0,0,1,0,0,0.0,10.365252695942027,4.8,0,12.2,0.043835616438356165,0
2012-10-20,0,0,0,0,0,1,0,0.0,10.310130143190996,0.5,0,8.6,0.04657534246575343,0
2012-10-21,0,0,0,0,0,0,1,0.0,10.255304845221401,6.4,0,8.05,0.049315068493150684,0
2012-10-22,1,0,0,0,0,0,0,0.0,10.200791041843253,8.9,0,5.55,0.052054794520547946,0
2012-10-23,0,1,0,0,0,0,0,0.0,10.146603351840627,0.0,1,8.35,0.0547945205479452,0
2012-10-24,0,0,1,0,0,0,0,0.0,10.092756778978623,7.1,0,8.899999999999999,0.057534246575342465,0
2012-10-25,0,0,0,1,0,0,0,0.0,10.039266717165974,0.0,1,9.2,0.06027397260273973,0
2012-10-26,0,0,0,0,1,0,0,0.0,9.986148954718034,1.5,0,9.15,0.06301369863013699,0
2012-10-27,0,0,0,0,0,1,0,0.0,9.933419677659106,23.1,0,11.9,0.06575342465753424,0
2012-10-28,0,0,0,0,0,0,1,0.0,9.881095472004354,6.1,0,12.2,0.0684931506849315,0
2012-10-29,1,0,0,0,0,0,0,0.0,9.829193324959157,10.9,0,12.8,0.07123287671232877,0
2012-10-30,0,1,0,0,0,0,0,0.0,9.77773062497099,34.5,0,13.6,0.07397260273972603,0
2012-10-31,0,0,1,0,0,0,0,0.0,9.726725160571108,14.5,0,13.35,0.07671232876712329,0
2012-11-01,0,0,0,1,0,0,0,0.0,9.676195117938608,9.7,0,12.8,0.07945205479452055,0
2012-11-02,0,0,0,0,1,0,0,0.0,9.626159077122228,5.6,0,12.8,0.0821917808219178,0
2012-11-03,0,0,0,0,0,1,0,0.0,9.57663600685421,0.5,0,13.35,0.08493150684931507,0
2012-11-04,0,0,0,0,0,0,1,0.0,9.527645257889915,8.1,0,15.3,0.08767123287671233,0
2012-11-05,1,0,0,0,0,0,0,0.0,9.479206554809723,0.8,0,11.4,0.09041095890410959,0
2012-11-06,0,1,0,0,0,0,0,0.0,9.431339986219832,0.3,0,9.75,0.09315068493150686,0
2012-11-07,0,0,1,0,0,0,0,0.0,9.38406599329054,0.0,1,8.049999999999999,0.0958904109589041,0
2012-11-08,0,0,0,1,0,0,0,0.0,9.3374053565747,0.0,1,5.55,0.09863013698630137,0
2012-11-09,0,0,0,0,1,0,0,0.0,9.29137918105015,0.0,1,5.0,0.10136986301369863,0
2012-11-10,0,0,0,0,0,1,0,0.0,9.24600887933607,0.0,1,3.6,0.10410958904109589,0
2012-11-11,0,0,0,0,0,0,1,0.0,9.201316153036755,15.2,0,5.0,0.10684931506849316,0
2012-11-12,1,0,0,0,0,0,0,1.0,9.157322972171778,3.6,0,9.45,0.1095890410958904,0
2012-11-13,0,1,0,0,0,0,0,0.0,9.114051552659358,5.3,0,9.45,0.11232876712328767,0
2012-11-14,0,0,1,0,0,0,0,0.0,9.071524331824882,0.8,0,8.05,0.11506849315068493,0
2012-11-15,0,0,0,1,0,0,0,0.0,9.02976394191711,0.0,1,6.1,0.1178082191780822,0
2012-11-16,0,0,0,0,1,0,0,0.0,8.988793181621284,5.6,0,5.800000000000001,0.12054794520547946,0
2012-11-17,0,0,0,0,0,1,0,0.0,8.94863498557045,6.1,0,9.149999999999999,0.1232876712328767,0
2012-11-18,0,0,0,0,0,0,1,0.0,8.909312391865862,7.9,0,8.05,0.12602739726027398,0
2012-11-19,1,0,0,0,0,0,0,0.0,8.870848507629203,54.1,0,10.8,0.12876712328767123,0
2012-11-20,0,1,0,0,0,0,0,0.0,8.833266472622975,3.8,0,9.15,0.13150684931506848,0
2012-11-21,0,0,1,0,0,0,0,0.0,8.79658942098724,11.2,0,6.1000000000000005,0.13424657534246576,0
2012-11-22,0,0,0,1,0,0,0,1.0,8.760840441156533,0.0,1,5.85,0.136986301369863,0
2012-11-23,0,0,0,0,1,0,0,0.0,8.72604253403466,32.0,0,7.75,0.13972602739726028,0
2012-11-24,0,0,0,0,0,1,0,0.0,8.692218569520314,0.0,1,6.4,0.14246575342465753,0
2012-11-25,0,0,0,0,0,0,1,0.0,8.659391241493369,0.0,1,4.7,0.14520547945205478,0
2012-11-26,1,0,0,0,0,0,0,0.0,8.627583021386046,0.0,1,5.55,0.14794520547945206,0
2012-11-27,0,1,0,0,0,0,0,0.0,8.596816110481127,0.0,1,5.85,0.1506849315068493,0
2012-11-28,0,0,1,0,0,0,0,0.0,8.567112391094424,2.8,0,5.800000000000001,0.15342465753424658,0
