STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       2905;2022052900;   10;   0.7; 200;eor
       2905;2022052901;   10;   0.7; 200;eor
       2905;2022052902;   10;   1.2; 200;eor
       2905;2022052903;   10;   0.2; 280;eor
       2905;2022052904;   10;   0.5; 170;eor
       2905;2022052905;   10;   1.0; 250;eor
       2905;2022052906;   10;   1.5; 340;eor
       2905;2022052907;   10;   2.3;  20;eor
       2905;2022052908;   10;   2.9;  20;eor
       2905;2022052909;   10;   4.1; 350;eor
       2905;2022052910;   10;   5.7; 340;eor
       2905;2022052911;   10;   5.9;  10;eor
       2905;2022052912;   10;   4.6; 140;eor
       2905;2022052913;   10;   2.8; 140;eor
       2905;2022052914;   10;   4.7; 260;eor
       2905;2022052915;   10;   3.1; 270;eor
       2905;2022052916;   10;   1.4;  30;eor
       2905;2022052917;   10;   0.9; 120;eor
       2905;2022052918;   10;   1.3; 130;eor
       2905;2022052919;   10;   2.0; 180;eor
       2905;2022052920;   10;   1.6; 190;eor
       2905;2022052921;   10;   1.0; 230;eor
       2905;2022052922;   10;   1.0;  20;eor
       2905;2022052923;   10;   1.6; 170;eor
       2905;2022053000;   10;   1.8; 180;eor
       2905;2022053001;   10;   1.6; 180;eor
       2905;2022053002;   10;   0.5;  10;eor
       2905;2022053003;   10;   0.9; 170;eor
       2905;2022053004;   10;   0.8;  20;eor
       2905;2022053005;   10;   0.6; 100;eor
       2905;2022053006;   10;   0.9;  60;eor
       2905;2022053007;   10;   1.5;  30;eor
       2905;2022053008;   10;   2.4;  30;eor
       2905;2022053009;   10;   2.8;  70;eor
       2905;2022053010;   10;   2.9;  50;eor
       2905;2022053011;   10;   1.9; 100;eor
       2905;2022053012;   10;   1.7; 360;eor
       2905;2022053013;   10;   1.8; 340;eor
       2905;2022053014;   10;   2.2; 250;eor
       2905;2022053015;   10;   1.7; 270;eor
       2905;2022053016;   10;   1.8; 270;eor
       2905;2022053017;   10;   2.0; 320;eor
       2905;2022053018;   10;   1.5; 330;eor
       2905;2022053019;   10;   1.1; 330;eor
       2905;2022053020;   10;   1.1;  80;eor
       2905;2022053021;   10;   0.9; 100;eor
       2905;2022053022;   10;   1.3; 110;eor
       2905;2022053023;   10;   1.0;  90;eor
       2905;2022053100;   10;   0.9; 150;eor
       2905;2022053101;   10;   0.2; 190;eor
       2905;2022053102;   10;   0.4; 140;eor
       2905;2022053103;   10;   0.1; 230;eor
       2905;2022053104;   10;   0.4;  70;eor
       2905;2022053105;   10;   0.5; 120;eor
       2905;2022053106;   10;   1.1; 130;eor
       2905;2022053107;   10;   1.8; 130;eor
       2905;2022053108;   10;   2.8; 110;eor
       2905;2022053109;   10;   2.9;  90;eor
       2905;2022053110;   10;   1.7; 120;eor
       2905;2022053111;   10;   2.8; 200;eor
       2905;2022053112;   10;   3.1; 240;eor
       2905;2022053113;   10;   4.6; 260;eor
       2905;2022053114;   10;   4.2; 250;eor
       2905;2022053115;   10;   5.2; 240;eor
       2905;2022053116;   10;   4.4; 210;eor
       2905;2022053117;   10;   3.5; 220;eor
       2905;2022053118;   10;   4.7; 220;eor
       2905;2022053119;   10;   5.0; 260;eor
       2905;2022053120;   10;   2.9; 210;eor
       2905;2022053121;   10;   3.8; 210;eor
       2905;2022053122;   10;   2.8; 200;eor
       2905;2022053123;   10;   2.2; 180;eor
       2905;2022060100;   10;   3.5; 200;eor
       2905;2022060101;   10;   3.7; 220;eor
       2905;2022060102;   10;   3.0; 210;eor
       2905;2022060103;   10;   2.5; 190;eor
       2905;2022060104;   10;   2.1; 190;eor
       2905;2022060105;   10;   1.8; 190;eor
       2905;2022060106;   10;   2.1; 200;eor
       2905;2022060107;   10;   3.2; 210;eor
       2905;2022060108;   10;   3.8; 240;eor
       2905;2022060109;   10;   4.4; 230;eor
       2905;2022060110;   10;   5.0; 240;eor
       2905;2022060111;   10;   5.0; 250;eor
       2905;2022060112;   10;   6.2; 230;eor
       2905;2022060113;   10;   6.1; 240;eor
       2905;2022060114;   10;   5.4; 260;eor
       2905;2022060115;   10;   4.8; 270;eor
       2905;2022060116;   10;   3.4; 230;eor
       2905;2022060117;   10;   3.6; 200;eor
       2905;2022060118;   10;   5.5; 190;eor
       2905;2022060119;   10;   4.7; 200;eor
       2905;2022060120;   10;   4.1; 200;eor
       2905;2022060121;   10;   3.1; 200;eor
       2905;2022060122;   10;   2.6; 210;eor
