Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;V_N;29.05.2022;29.11.2023;5105;Gesamt_Messzeitraum;eor;                                                                                                                                   
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;V_N;03.06.2022-12:00;06.06.2022-10:00;71;;eor;                                                                                                                                            
2905;Lechfeld;V_N;10.06.2022-12:00;12.06.2022-10:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;16.06.2022-05:00;19.06.2022-10:00;78;;eor;                                                                                                                                            
2905;Lechfeld;V_N;25.06.2022-05:00;26.06.2022-10:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;01.07.2022-12:00;03.07.2022-16:00;53;;eor;                                                                                                                                            
2905;Lechfeld;V_N;08.07.2022-19:00;10.07.2022-16:00;46;;eor;                                                                                                                                            
2905;Lechfeld;V_N;16.07.2022-05:00;17.07.2022-10:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;23.07.2022-05:00;24.07.2022-10:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;30.07.2022-05:00;31.07.2022-10:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;06.08.2022-05:00;07.08.2022-17:00;37;;eor;                                                                                                                                            
2905;Lechfeld;V_N;12.08.2022-12:00;15.08.2022-16:00;77;;eor;                                                                                                                                            
2905;Lechfeld;V_N;19.08.2022-19:00;21.08.2022-16:00;46;;eor;                                                                                                                                            
2905;Lechfeld;V_N;26.08.2022-19:00;28.08.2022-10:00;40;;eor;                                                                                                                                            
2905;Lechfeld;V_N;03.09.2022-05:00;04.09.2022-10:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;10.09.2022-05:00;11.09.2022-10:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;16.09.2022-19:00;19.09.2022-03:00;57;;eor;                                                                                                                                            
2905;Lechfeld;V_N;22.09.2022-19:00;23.09.2022-03:00;9;;eor;                                                                                                                                             
2905;Lechfeld;V_N;23.09.2022-12:00;26.09.2022-03:00;64;;eor;                                                                                                                                            
2905;Lechfeld;V_N;26.09.2022-17:00;27.09.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;27.09.2022-17:00;28.09.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;28.09.2022-17:00;29.09.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;29.09.2022-17:00;30.09.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;30.09.2022-12:00;03.10.2022-10:00;71;;eor;                                                                                                                                            
2905;Lechfeld;V_N;03.10.2022-17:00;04.10.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;07.10.2022-12:00;09.10.2022-10:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;14.10.2022-12:00;16.10.2022-10:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;18.10.2022-17:00;19.10.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;19.10.2022-17:00;20.10.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;20.10.2022-17:00;21.10.2022-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;21.10.2022-12:00;23.10.2022-10:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;28.10.2022-12:00;01.11.2022-11:00;96;;eor;                                                                                                                                            
2905;Lechfeld;V_N;02.11.2022-19:00;03.11.2022-04:00;10;;eor;                                                                                                                                            
2905;Lechfeld;V_N;04.11.2022-13:00;06.11.2022-11:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;11.11.2022-13:00;13.11.2022-11:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;16.11.2022-11:00;16.11.2022-11:00;1;;eor;                                                                                                                                             
2905;Lechfeld;V_N;18.11.2022-20:00;20.11.2022-11:00;40;;eor;                                                                                                                                            
2905;Lechfeld;V_N;25.11.2022-13:00;27.11.2022-17:00;53;;eor;                                                                                                                                            
2905;Lechfeld;V_N;02.12.2022-13:00;04.12.2022-11:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;09.12.2022-20:00;11.12.2022-11:00;40;;eor;                                                                                                                                            
2905;Lechfeld;V_N;16.12.2022-13:00;18.12.2022-11:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;23.12.2022-13:00;08.01.2023-11:00;383;;eor;                                                                                                                                           
2905;Lechfeld;V_N;14.01.2023-06:00;15.01.2023-11:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;21.01.2023-07:00;22.01.2023-11:00;29;;eor;                                                                                                                                            
2905;Lechfeld;V_N;28.01.2023-07:00;29.01.2023-11:00;29;;eor;                                                                                                                                            
2905;Lechfeld;V_N;04.02.2023-06:00;05.02.2023-11:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;08.02.2023-12:00;08.02.2023-14:00;3;;eor;                                                                                                                                             
2905;Lechfeld;V_N;11.02.2023-06:00;12.02.2023-11:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;18.02.2023-06:00;21.02.2023-11:00;78;;eor;                                                                                                                                            
2905;Lechfeld;V_N;24.02.2023-20:00;26.02.2023-11:00;40;;eor;                                                                                                                                            
2905;Lechfeld;V_N;04.03.2023-06:00;05.03.2023-11:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;11.03.2023-06:00;12.03.2023-11:00;30;;eor;                                                                                                                                            
2905;Lechfeld;V_N;17.03.2023-13:00;19.03.2023-11:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;24.03.2023-13:00;26.03.2023-10:00;46;;eor;                                                                                                                                            
2905;Lechfeld;V_N;27.03.2023-16:00;28.03.2023-04:00;13;;eor;                                                                                                                                            
2905;Lechfeld;V_N;30.03.2023-16:00;31.03.2023-03:00;12;;eor;                                                                                                                                            
2905;Lechfeld;V_N;31.03.2023-12:00;03.04.2023-03:00;64;;eor;                                                                                                                                            
2905;Lechfeld;V_N;06.04.2023-12:00;10.04.2023-18:00;103;;eor;                                                                                                                                           
2905;Lechfeld;V_N;12.04.2023-16:00;13.04.2023-03:00;12;;eor;                                                                                                                                            
2905;Lechfeld;V_N;13.04.2023-17:00;14.04.2023-03:00;11;;eor;                                                                                                                                            
2905;Lechfeld;V_N;14.04.2023-12:00;16.04.2023-10:00;47;;eor;                                                                                                                                            
2905;Lechfeld;V_N;10.05.2023-16:00;10.05.2023-16:00;1;;eor;                                                                                                                                             
2905;Lechfeld;V_N;18.05.2023-05:00;21.05.2023-16:00;84;;eor;                                                                                                                                            
2905;Lechfeld;V_N;26.05.2023-12:00;29.05.2023-18:00;79;;eor;                                                                                                                                            
2905;Lechfeld;V_N;02.06.2023-12:00;04.06.2023-06:00;43;;eor;                                                                                                                                            
2905;Lechfeld;V_N;07.06.2023-19:00;08.06.2023-07:00;13;;eor;                                                                                                                                            
2905;Lechfeld;V_N;08.06.2023-12:00;09.06.2023-04:00;17;;eor;                                                                                                                                            
2905;Lechfeld;V_N;09.06.2023-17:00;11.06.2023-10:00;42;;eor;                                                                                                                                            
2905;Lechfeld;V_N;16.06.2023-19:00;18.06.2023-10:00;40;;eor;                                                                                                                                            
