STATIONS_ID;MESS_DATUM;QN_8;V_N_I; V_N;eor
       2905;2022052911;    3;   P;   6;eor
       2905;2022052912;    3;   P;   7;eor
       2905;2022052913;    3;   P;   7;eor
       2905;2022052914;    3;   P;   7;eor
       2905;2022052915;    3;   P;   7;eor
       2905;2022052916;    3;   P;   7;eor
       2905;2022052917;    3;   P;   5;eor
       2905;2022052918;    3;   P;   5;eor
       2905;2022052919;    3;   P;   5;eor
       2905;2022052920;    3;   P;   5;eor
       2905;2022052921;    3;   P;   5;eor
       2905;2022052922;    3;   P;   3;eor
       2905;2022052923;    3;   P;   3;eor
       2905;2022053000;    3;   P;   3;eor
       2905;2022053001;    3;   P;   3;eor
       2905;2022053002;    3;   P;   3;eor
       2905;2022053003;    3;   P;   7;eor
       2905;2022053004;    3;   P;   7;eor
       2905;2022053005;    3;   P;   6;eor
       2905;2022053006;    3;   P;  -1;eor
       2905;2022053007;    3;   P;   6;eor
       2905;2022053008;    3;   P;   3;eor
       2905;2022053009;    3;   P;   3;eor
       2905;2022053010;    3;   P;   2;eor
       2905;2022053011;    3;   P;   3;eor
       2905;2022053012;    3;   P;   3;eor
       2905;2022053013;    3;   P;   3;eor
       2905;2022053014;    3;   P;   3;eor
       2905;2022053015;    3;   P;   3;eor
       2905;2022053016;    3;   P;   2;eor
       2905;2022053017;    3;   P;   2;eor
       2905;2022053018;    3;   P;   1;eor
       2905;2022053019;    3;   P;   1;eor
       2905;2022053020;    3;   P;   1;eor
       2905;2022053021;    3;   P;   0;eor
       2905;2022053022;    3;   P;   1;eor
       2905;2022053023;    3;   P;   5;eor
       2905;2022053100;    3;   P;   5;eor
       2905;2022053101;    3;   P;   6;eor
       2905;2022053102;    3;   P;   7;eor
       2905;2022053103;    3;   P;   7;eor
       2905;2022053104;    3;   P;   6;eor
       2905;2022053105;    3;   P;   5;eor
       2905;2022053106;    3;   P;   6;eor
       2905;2022053107;    3;   P;   5;eor
       2905;2022053108;    3;   P;   3;eor
       2905;2022053109;    3;   P;   2;eor
       2905;2022053110;    3;   P;   2;eor
       2905;2022053111;    3;   P;   5;eor
       2905;2022053112;    3;   P;   6;eor
       2905;2022053113;    3;   P;   7;eor
       2905;2022053114;    3;   P;   7;eor
       2905;2022053115;    3;   P;   7;eor
       2905;2022053116;    3;   P;   7;eor
       2905;2022053117;    3;   P;   7;eor
       2905;2022053118;    3;   P;   7;eor
       2905;2022053119;    3;   P;   7;eor
       2905;2022053120;    3;   P;   7;eor
       2905;2022053121;    3;   P;   7;eor
       2905;2022053122;    3;   P;   6;eor
       2905;2022053123;    3;   P;   3;eor
       2905;2022060100;    3;   P;   3;eor
       2905;2022060101;    3;   P;   3;eor
       2905;2022060102;    3;   P;   2;eor
       2905;2022060103;    3;   P;   3;eor
       2905;2022060104;    3;   P;   4;eor
       2905;2022060105;    3;   P;   4;eor
       2905;2022060106;    3;   P;   4;eor
       2905;2022060107;    3;   P;   3;eor
       2905;2022060108;    3;   P;   3;eor
       2905;2022060109;    3;   P;   4;eor
       2905;2022060110;    3;   P;   5;eor
       2905;2022060111;    3;   P;   5;eor
       2905;2022060112;    3;   P;   5;eor
       2905;2022060113;    3;   P;   5;eor
       2905;2022060114;    3;   P;   6;eor
       2905;2022060115;    3;   P;   7;eor
       2905;2022060116;    3;   P;   7;eor
       2905;2022060117;    3;   P;   7;eor
       2905;2022060118;    3;   P;   7;eor
       2905;2022060119;    3;   P;   7;eor
       2905;2022060120;    3;   P;   7;eor
       2905;2022060121;    3;   P;   5;eor
       2905;2022060122;    3;   P;   5;eor
       2905;2022060123;    3;   P;   5;eor
       2905;2022060200;    3;   P;   3;eor
       2905;2022060201;    3;   P;   2;eor
       2905;2022060202;    3;   P;   4;eor
       2905;2022060203;    3;   P;   5;eor
       2905;2022060204;    3;   P;   6;eor
       2905;2022060205;    3;   P;   6;eor
       2905;2022060206;    3;   P;   4;eor
       2905;2022060207;    3;   P;   3;eor
       2905;2022060208;    3;   P;   3;eor
       2905;2022060209;    3;   P;   3;eor
       2905;2022060210;    3;   P;   3;eor
       2905;2022060211;    3;   P;   7;eor
       2905;2022060212;    3;   P;   7;eor
       2905;2022060213;    3;   P;   7;eor
       2905;2022060214;    3;   P;   7;eor
       2905;2022060215;    3;   P;   7;eor
       2905;2022060216;    3;   P;   7;eor
       2905;2022060217;    3;   P;   7;eor
       2905;2022060218;    3;   P;   7;eor
       2905;2022060219;    3;   P;   5;eor
       2905;2022060220;    3;   P;   4;eor
       2905;2022060221;    3;   P;   4;eor
       2905;2022060222;    3;   P;   3;eor
       2905;2022060223;    3;   P;   3;eor
       2905;2022060300;    3;   P;   3;eor
       2905;2022060301;    3;   P;   3;eor
       2905;2022060302;    3;   P;   3;eor
       2905;2022060303;    3;   P;   3;eor
       2905;2022060304;    3;   P;   3;eor
       2905;2022060305;    3;   P;   5;eor
       2905;2022060306;    3;   P;   7;eor
       2905;2022060307;    3;   P;   6;eor
       2905;2022060308;    3;   P;   3;eor
       2905;2022060309;    3;   P;   3;eor
       2905;2022060310;    3;   P;   2;eor
       2905;2022060311;    3;   P;   4;eor
       2905;2022060611;    3;   P;   3;eor
       2905;2022060612;    3;   P;   3;eor
       2905;2022060613;    3;   P;   5;eor
       2905;2022060614;    3;   P;   6;eor
       2905;2022060615;    3;   P;   6;eor
       2905;2022060616;    3;   P;   5;eor
       2905;2022060617;    3;   P;   6;eor
       2905;2022060618;    3;   P;   7;eor
       2905;2022060619;    3;   P;   7;eor
       2905;2022060620;    3;   P;   7;eor
       2905;2022060621;    3;   P;   7;eor
       2905;2022060622;    3;   P;   7;eor
       2905;2022060623;    3;   P;   7;eor
       2905;2022060700;    3;   P;   7;eor
       2905;2022060701;    3;   P;   7;eor
       2905;2022060702;    3;   P;   7;eor
       2905;2022060703;    3;   P;   7;eor
       2905;2022060704;    3;   P;   7;eor
       2905;2022060705;    3;   P;   7;eor
       2905;2022060706;    3;   P;   7;eor
       2905;2022060707;    3;   P;   7;eor
       2905;2022060708;    3;   P;   7;eor
       2905;2022060709;    3;   P;   7;eor
       2905;2022060710;    3;   P;   7;eor
       2905;2022060711;    3;   P;   7;eor
       2905;2022060712;    3;   P;   7;eor
       2905;2022060713;    3;   P;   7;eor
       2905;2022060714;    3;   P;   7;eor
       2905;2022060715;    3;   P;   7;eor
       2905;2022060716;    3;   P;   7;eor
       2905;2022060717;    3;   P;   7;eor
       2905;2022060718;    3;   P;   7;eor
       2905;2022060719;    3;   P;   6;eor
       2905;2022060720;    3;   P;   6;eor
       2905;2022060721;    3;   P;   5;eor
       2905;2022060722;    3;   P;   4;eor
       2905;2022060723;    3;   P;   6;eor
       2905;2022060800;    3;   P;   7;eor
       2905;2022060801;    3;   P;   7;eor
       2905;2022060802;    3;   P;   6;eor
       2905;2022060803;    3;   P;   6;eor
       2905;2022060804;    3;   P;   3;eor
       2905;2022060805;    3;   P;   6;eor
       2905;2022060806;    3;   P;   6;eor
       2905;2022060807;    3;   P;   3;eor
       2905;2022060808;    3;   P;   1;eor
       2905;2022060809;    3;   P;   1;eor
       2905;2022060810;    3;   P;   3;eor
       2905;2022060811;    3;   P;   3;eor
       2905;2022060812;    3;   P;   3;eor
       2905;2022060813;    3;   P;   3;eor
       2905;2022060814;    3;   P;   4;eor
       2905;2022060815;    3;   P;   4;eor
       2905;2022060816;    3;   P;   6;eor
       2905;2022060817;    3;   P;   7;eor
       2905;2022060818;    3;   P;   7;eor
