Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
232;Augsburg;F;01.01.1961;04.05.2023;912;Gesamt_Messzeitraum;eor;                                                                                                                                       
232;Augsburg;D;01.01.1961;04.05.2023;980;Gesamt_Messzeitraum;eor;                                                                                                                                       
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
232;Augsburg;F;14.01.1986-23:00;15.01.1986-07:00;9;;eor;                                                                                                                                                
232;Augsburg;F;18.11.1989-06:00;18.11.1989-06:00;1;;eor;                                                                                                                                                
232;Augsburg;F;02.07.1991-12:00;03.07.1991-15:00;28;;eor;                                                                                                                                               
232;Augsburg;F;16.09.1991-21:00;17.09.1991-01:00;5;;eor;                                                                                                                                                
232;Augsburg;F;13.10.1994-08:00;18.10.1994-14:00;127;;eor;                                                                                                                                              
232;Augsburg;F;14.11.1994-06:00;17.11.1994-06:00;73;;eor;                                                                                                                                               
232;Augsburg;F;29.07.2001-14:00;29.07.2001-14:00;1;;eor;                                                                                                                                                
232;Augsburg;F;14.11.2001-22:00;15.11.2001-02:00;5;;eor;                                                                                                                                                
232;Augsburg;F;17.09.2003-00:00;17.09.2003-01:00;2;;eor;                                                                                                                                                
232;Augsburg;F;18.09.2003-07:00;18.09.2003-07:00;1;;eor;                                                                                                                                                
232;Augsburg;F;19.11.2003-18:00;19.11.2003-18:00;1;;eor;                                                                                                                                                
232;Augsburg;F;03.02.2004-11:00;03.02.2004-11:00;1;;eor;                                                                                                                                                
232;Augsburg;F;18.05.2004-10:00;18.05.2004-10:00;1;;eor;                                                                                                                                                
232;Augsburg;F;18.05.2004-12:00;18.05.2004-12:00;1;;eor;                                                                                                                                                
232;Augsburg;F;28.05.2004-06:00;28.05.2004-06:00;1;;eor;                                                                                                                                                
232;Augsburg;F;25.06.2004-18:00;25.06.2004-18:00;1;;eor;                                                                                                                                                
