Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
232;Augsburg;V_N;01.01.1949;04.05.2023;2782;Gesamt_Messzeitraum;eor;                                                                                                                                    
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
232;Augsburg;V_N;01.01.1979-13:00;01.01.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.01.1979-11:00;05.01.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.01.1979-08:00;07.01.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.01.1979-20:00;08.01.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.01.1979-20:00;11.01.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;12.01.1979-10:00;12.01.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.01.1979-05:00;16.01.1979-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.01.1979-08:00;20.01.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;21.01.1979-05:00;21.01.1979-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.01.1979-08:00;27.01.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.01.1979-08:00;28.01.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.02.1979-05:00;01.02.1979-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.02.1979-08:00;01.02.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.02.1979-14:00;01.02.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.02.1979-01:00;04.02.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.02.1979-04:00;04.02.1979-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;06.02.1979-10:00;06.02.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.02.1979-14:00;07.02.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.02.1979-16:00;07.02.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.02.1979-08:00;08.02.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.02.1979-10:00;08.02.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.02.1979-13:00;11.02.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;23.02.1979-17:00;23.02.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;25.02.1979-08:00;25.02.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.02.1979-08:00;28.02.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.03.1979-20:00;01.03.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.03.1979-22:00;01.03.1979-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.03.1979-20:00;04.03.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.03.1979-10:00;09.03.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.03.1979-08:00;11.03.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.03.1979-10:00;20.03.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;21.03.1979-07:00;21.03.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.03.1979-10:00;24.03.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.03.1979-08:00;28.03.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.03.1979-14:00;28.03.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.04.1979-08:00;01.04.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.04.1979-10:00;01.04.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.04.1979-16:00;02.04.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;03.04.1979-13:00;03.04.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.04.1979-10:00;05.04.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.04.1979-04:00;17.04.1979-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.04.1979-13:00;20.04.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.04.1979-14:00;26.04.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.04.1979-08:00;28.04.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.05.1979-17:00;01.05.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.05.1979-11:00;02.05.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.05.1979-08:00;04.05.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.05.1979-11:00;04.05.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.05.1979-19:00;04.05.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.05.1979-17:00;09.05.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;18.05.1979-16:00;18.05.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.05.1979-08:00;20.05.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;21.05.1979-13:00;21.05.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.05.1979-08:00;24.05.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.05.1979-04:00;28.05.1979-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.05.1979-08:00;29.05.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;31.05.1979-01:00;31.05.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.06.1979-14:00;07.06.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.06.1979-15:00;09.06.1979-15:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.06.1979-23:00;09.06.1979-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.06.1979-08:00;13.06.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.06.1979-20:00;17.06.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;18.06.1979-07:00;18.06.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.06.1979-19:00;24.06.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.06.1979-07:00;26.06.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.06.1979-07:00;27.06.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.06.1979-13:00;27.06.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.06.1979-13:00;30.06.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.07.1979-19:00;02.07.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.07.1979-11:00;04.07.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.07.1979-08:00;07.07.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.07.1979-11:00;07.07.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;12.07.1979-13:00;12.07.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.07.1979-19:00;13.07.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;14.07.1979-16:00;14.07.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.07.1979-03:00;16.07.1979-04:00;2;;eor;                                                                                                                                              
232;Augsburg;V_N;17.07.1979-15:00;17.07.1979-15:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.07.1979-03:00;20.07.1979-03:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.07.1979-17:00;27.07.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.08.1979-18:00;01.08.1979-18:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.08.1979-11:00;08.08.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;12.08.1979-17:00;12.08.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.08.1979-23:00;13.08.1979-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;15.08.1979-10:00;15.08.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;19.08.1979-01:00;19.08.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.08.1979-01:00;20.08.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.08.1979-13:00;20.08.1979-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;21.08.1979-20:00;21.08.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.08.1979-14:00;24.08.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.08.1979-16:00;24.08.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;25.08.1979-17:00;25.08.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.08.1979-20:00;26.08.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.09.1979-01:00;05.09.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.09.1979-20:00;05.09.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;22.09.1979-19:00;22.09.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;23.09.1979-02:00;23.09.1979-02:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.09.1979-16:00;29.09.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.09.1979-19:00;29.09.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.09.1979-23:00;30.09.1979-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.10.1979-11:00;02.10.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;03.10.1979-11:00;03.10.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.10.1979-07:00;05.10.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;06.10.1979-08:00;06.10.1979-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.10.1979-07:00;11.10.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.10.1979-10:00;20.10.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.10.1979-20:00;20.10.1979-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;21.10.1979-17:00;21.10.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;23.10.1979-02:00;23.10.1979-02:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;25.10.1979-10:00;25.10.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.10.1979-23:00;29.10.1979-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.10.1979-03:00;30.10.1979-03:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.11.1979-10:00;08.11.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.11.1979-01:00;09.11.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;12.11.1979-14:00;12.11.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.11.1979-04:00;16.11.1979-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.11.1979-19:00;17.11.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.11.1979-01:00;20.11.1979-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.11.1979-10:00;20.11.1979-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.11.1979-07:00;30.11.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.12.1979-11:00;01.12.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;12.12.1979-17:00;12.12.1979-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.12.1979-07:00;13.12.1979-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.12.1979-14:00;17.12.1979-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;20.12.1979-16:00;20.12.1979-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;23.12.1979-11:00;23.12.1979-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;25.12.1979-02:00;25.12.1979-02:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.12.1979-19:00;27.12.1979-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.01.1980-07:00;01.01.1980-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.01.1980-14:00;02.01.1980-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.01.1980-10:00;04.01.1980-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.01.1980-14:00;07.01.1980-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.01.1980-11:00;08.01.1980-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.01.1980-15:00;08.01.1980-15:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.01.1980-22:00;13.01.1980-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;18.01.1980-11:00;18.01.1980-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;18.01.1980-13:00;18.01.1980-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;22.01.1980-09:00;22.01.1980-09:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;25.01.1980-08:00;25.01.1980-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.01.1980-19:00;26.01.1980-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.01.1980-05:00;30.01.1980-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.02.1980-07:00;01.02.1980-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.02.1980-04:00;09.02.1980-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;10.02.1980-11:00;10.02.1980-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;10.02.1980-23:00;10.02.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.02.1980-04:00;13.02.1980-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;15.02.1980-05:00;15.02.1980-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.02.1980-05:00;28.02.1980-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.03.1980-02:00;17.03.1980-02:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.03.1980-23:00;17.03.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;25.03.1980-23:00;25.03.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.03.1980-23:00;26.03.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.03.1980-23:00;28.03.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.03.1980-23:00;29.03.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.03.1980-13:00;30.03.1980-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.03.1980-23:00;30.03.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.04.1980-11:00;02.04.1980-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.04.1980-13:00;02.04.1980-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.04.1980-16:00;02.04.1980-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;10.04.1980-05:00;10.04.1980-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.04.1980-22:00;24.04.1980-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.05.1980-22:00;16.05.1980-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;19.05.1980-22:00;19.05.1980-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;10.06.1980-20:00;10.06.1980-20:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;22.06.1980-14:00;22.06.1980-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.07.1980-17:00;01.07.1980-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.07.1980-07:00;17.07.1980-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.07.1980-23:00;17.07.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;31.07.1980-19:00;31.07.1980-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.08.1980-07:00;05.08.1980-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.08.1980-11:00;05.08.1980-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.08.1980-10:00;08.08.1980-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.08.1980-14:00;11.08.1980-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;15.08.1980-23:00;15.08.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;17.08.1980-23:00;17.08.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;22.08.1980-23:00;22.08.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.08.1980-23:00;24.08.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.08.1980-14:00;30.08.1980-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.09.1980-23:00;27.09.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.10.1980-13:00;02.10.1980-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.10.1980-17:00;04.10.1980-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;18.10.1980-01:00;18.10.1980-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;27.10.1980-23:00;27.10.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;28.10.1980-01:00;28.10.1980-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.10.1980-22:00;29.10.1980-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.11.1980-01:00;11.11.1980-01:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.11.1980-10:00;11.11.1980-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;14.11.1980-10:00;14.11.1980-10:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.12.1980-09:00;01.12.1980-09:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;01.12.1980-23:00;01.12.1980-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.12.1980-07:00;02.12.1980-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;07.12.1980-14:00;07.12.1980-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;24.12.1980-19:00;24.12.1980-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;03.01.1981-11:00;03.01.1981-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;08.01.1981-14:00;08.01.1981-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;23.01.1981-11:00;23.01.1981-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.01.1981-17:00;26.01.1981-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.01.1981-05:00;29.01.1981-05:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.01.1981-19:00;29.01.1981-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;10.02.1981-19:00;10.02.1981-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;11.02.1981-19:00;11.02.1981-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;13.02.1981-13:00;13.02.1981-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;14.02.1981-04:00;14.02.1981-04:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;15.02.1981-19:00;15.02.1981-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;26.02.1981-11:00;26.02.1981-11:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;03.03.1981-08:00;03.03.1981-08:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;06.03.1981-02:00;06.03.1981-02:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.03.1981-23:00;16.03.1981-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;29.03.1981-23:00;29.03.1981-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;30.03.1981-07:00;30.03.1981-07:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.05.1981-14:00;02.05.1981-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;05.05.1981-13:00;05.05.1981-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;15.05.1981-17:00;15.05.1981-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;02.06.1981-23:00;02.06.1981-23:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;04.06.1981-14:00;04.06.1981-14:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;06.06.1981-17:00;06.06.1981-17:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;06.06.1981-22:00;06.06.1981-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;09.06.1981-22:00;09.06.1981-22:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;10.06.1981-16:00;10.06.1981-16:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.06.1981-19:00;16.06.1981-19:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;21.06.1981-13:00;21.06.1981-13:00;1;;eor;                                                                                                                                              
232;Augsburg;V_N;16.07.1981-16:00;16.07.1981-16:00;1;;eor;                                                                                                                                              
