Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
232;Augsburg;R1;07.11.1996-12:00;07.11.1996-13:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;07.11.1996-23:00;08.11.1996-06:00;7;;eor;                                                                                                                                               
232;Augsburg;R1;29.11.1996-09:00;30.11.1996-08:00;23;;eor;                                                                                                                                              
232;Augsburg;R1;03.12.1996-09:00;03.12.1996-11:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;05.12.1996-09:00;05.12.1996-13:00;4;;eor;                                                                                                                                               
232;Augsburg;R1;25.12.1996-12:00;25.12.1996-20:00;8;;eor;                                                                                                                                               
232;Augsburg;R1;09.01.1997-11:00;09.01.1997-12:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;10.01.1997-07:00;10.01.1997-08:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;30.05.1997-19:00;30.05.1997-20:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;14.10.1997-22:00;14.10.1997-23:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;14.12.1997-15:00;14.12.1997-18:00;3;;eor;                                                                                                                                               
232;Augsburg;R1;03.01.1998-15:00;03.01.1998-17:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;29.01.1998-16:00;29.01.1998-18:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;29.01.1998-20:00;29.01.1998-22:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;01.02.1998-03:00;01.02.1998-05:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;14.02.1998-17:00;17.02.1998-05:00;60;;eor;                                                                                                                                              
232;Augsburg;R1;17.02.1998-18:00;17.02.1998-20:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;18.02.1998-01:00;18.02.1998-03:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;18.02.1998-06:00;18.02.1998-07:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;18.02.1998-19:00;18.02.1998-21:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;18.02.1998-23:00;19.02.1998-04:00;5;;eor;                                                                                                                                               
232;Augsburg;R1;19.02.1998-06:00;19.02.1998-08:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;19.02.1998-15:00;19.02.1998-16:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;20.02.1998-10:00;21.02.1998-05:00;19;;eor;                                                                                                                                              
232;Augsburg;R1;21.02.1998-07:00;21.02.1998-08:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;26.02.1998-04:00;26.02.1998-06:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;26.02.1998-17:00;26.02.1998-20:00;3;;eor;                                                                                                                                               
232;Augsburg;R1;27.02.1998-15:00;27.02.1998-16:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;19.03.1998-11:00;19.03.1998-12:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;01.04.1998-21:00;01.04.1998-22:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;10.05.1998-19:00;10.05.1998-22:00;3;;eor;                                                                                                                                               
232;Augsburg;R1;11.05.1998-00:00;11.05.1998-01:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;11.05.1998-07:00;11.05.1998-08:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;12.05.1998-01:00;12.05.1998-02:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;16.05.1998-21:00;16.05.1998-23:00;2;;eor;                                                                                                                                               
232;Augsburg;R1;02.07.1998-21:00;02.07.1998-22:00;1;;eor;                                                                                                                                               
232;Augsburg;R1;23.08.1998-15:00;23.08.1998-18:00;3;;eor;                                                                                                                                               
