Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;TT_TU;05.01.2002-11:00;05.01.2002-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.01.2002-23:00;10.01.2002-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.01.2002-21:00;17.01.2002-21:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.01.2002-01:00;29.01.2002-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;09.02.2002-00:00;09.02.2002-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.02.2002-00:00;23.02.2002-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.03.2002-16:00;12.03.2002-16:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.03.2002-00:00;30.03.2002-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.04.2002-01:00;23.04.2002-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;24.04.2002-10:00;24.04.2002-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;26.05.2002-15:00;26.05.2002-15:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;05.06.2002-03:00;05.06.2002-03:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.06.2002-16:00;12.06.2002-16:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;09.07.2002-16:00;09.07.2002-16:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.07.2002-09:00;14.07.2002-09:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.07.2002-23:00;14.07.2002-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.08.2002-01:00;15.08.2002-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.09.2002-17:00;15.09.2002-17:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.09.2002-07:00;16.09.2002-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.09.2002-10:00;16.09.2002-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;24.09.2002-20:00;24.09.2002-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.11.2002-07:00;12.11.2002-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.11.2002-19:00;28.11.2002-19:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.12.2002-18:00;04.12.2002-18:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.12.2002-18:00;27.12.2002-18:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.02.2003-11:00;28.02.2003-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.03.2003-23:00;15.03.2003-23:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.03.2003-01:00;16.03.2003-03:00;3;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.04.2003-13:00;16.04.2003-14:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.05.2003-09:00;16.05.2003-13:00;5;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;25.05.2003-10:00;25.05.2003-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;26.05.2003-20:00;26.05.2003-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.05.2003-02:00;30.05.2003-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;01.07.2003-11:00;01.07.2003-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;07.07.2003-11:00;07.07.2003-11:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;11.07.2003-17:00;11.07.2003-17:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.07.2003-14:00;15.07.2003-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.07.2003-00:00;22.07.2003-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.07.2003-17:00;27.07.2003-17:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;06.08.2003-14:00;06.08.2003-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.08.2003-08:00;28.08.2003-08:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.09.2003-01:00;04.09.2003-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.10.2003-02:00;10.10.2003-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.10.2003-09:00;14.10.2003-11:00;3;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.10.2003-10:00;22.10.2003-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.11.2003-15:00;10.11.2003-15:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;11.11.2003-16:00;11.11.2003-16:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;01.12.2003-05:00;01.12.2003-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;13.12.2003-03:00;13.12.2003-03:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;13.12.2003-08:00;13.12.2003-09:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.12.2003-00:00;21.12.2003-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;03.01.2004-02:00;03.01.2004-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;05.01.2004-17:00;05.01.2004-17:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.03.2004-07:00;10.03.2004-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.04.2004-06:00;22.04.2004-06:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.04.2004-00:00;28.04.2004-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.05.2004-02:00;28.05.2004-03:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;02.07.2004-13:00;02.07.2004-17:00;5;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.07.2004-12:00;19.07.2004-12:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.10.2004-22:00;12.10.2004-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;14.10.2004-07:00;14.10.2004-16:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;25.10.2004-07:00;25.10.2004-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.11.2004-22:00;12.11.2004-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.12.2004-20:00;16.12.2004-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;28.12.2004-10:00;28.12.2004-12:00;3;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;30.12.2004-00:00;30.12.2004-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.01.2005-01:00;04.01.2005-01:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;27.01.2005-23:00;28.01.2005-03:00;5;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.02.2005-12:00;08.02.2005-19:00;8;;eor;                                                                                                                                           
